symbol,name,weight
SOLS,Solstice Advanced Materials Inc.,0.26624
PRI,Primerica Inc.,0.261263
GMED,Globus Medical Inc Class A,0.260933
SEIC,SEI Investments Company,0.260558
OGE,OGE Energy Corp.,0.260006
AMG,Affiliated Managers Group Inc.,0.259797
ORI,Old Republic International Corporation,0.256723
VMI,Valmont Industries Inc.,0.256046
BTSG,BrightSpring Health Services Inc.,0.255262
OSK,Oshkosh Corp,0.254525
MUSA,Murphy USA Inc.,0.253637
AVTR,Avantor Inc.,0.253373
BAH,Booz Allen Hamilton Holding Corporation Class A,0.253331
TTEK,Tetra Tech Inc.,0.253328
CUBE,CubeSmart,0.253282
RRC,Range Resources Corporation,0.251966
COLB,Columbia Banking System Inc.,0.251628
TTC,Toro Company,0.251076
ONB,Old National Bancorp,0.249419
BRX,Brixmor Property Group Inc.,0.24681
CTRE,CareTrust REIT Inc.,0.245791
VOYA,Voya Financial Inc.,0.24556
CNH,CNH Industrial NV,0.245088
JEF,Jefferies Financial Group Inc.,0.244786
ADC,Agree Realty Corporation,0.241337
HQY,HealthEquity Inc,0.239006
IDCC,InterDigital Inc.,0.238275
RGEN,Repligen Corporation,0.237963
NNN,NNN REIT Inc.,0.235712
PB,Prosperity Bancshares Inc.(R),0.235593
CNM,Core & Main Inc. Class A,0.2326
KRYS,Krystal Biotech Inc.,0.232484
LAD,Lithia Motors Inc.,0.231386
ATR,AptarGroup Inc.,0.226698
FR,First Industrial Realty Trust Inc.,0.224957
WAL,Western Alliance Bancorp,0.224265
ALV,Autoliv Inc.,0.224052
TKR,Timken Company,0.222488
CRBG,Corebridge Financial Inc.,0.222473
KNSL,Kinsale Capital Group Inc.,0.221314
CART,Maplebear Inc.,0.220763
ACM,AECOM,0.219053
REXR,Rexford Industrial Realty Inc.,0.218546
CBSH,Commerce Bancshares Inc.,0.217955
FCFS,FirstCash Holdings Inc.,0.21791
SSD,Simpson Manufacturing Co. Inc.,0.21524
VNOM,Viper Energy Inc.,0.214764
CMC,Commercial Metals Company,0.21431
AXTA,Axalta Coating Systems Ltd.,0.212464
AVT,Avnet Inc.,0.210965
IDA,IDACORP Inc.,0.209508
THG,Hanover Insurance Group Inc.,0.209235
SFM,Sprouts Farmers Market Inc.,0.208341
NFG,National Fuel Gas Company,0.207559
HXL,Hexcel Corporation,0.206771
GME,GameStop Corp. Class A,0.205251
CHRD,Chord Energy Corporation,0.202825
TEX,Terex Corporation,0.202566
UGI,UGI Corporation,0.202554
FAF,First American Financial Corporation,0.202211
MP,MP Materials Corp Class A,0.201779
NOV,NOV Inc.,0.198478
H,Hyatt Hotels Corporation Class A,0.197727
KEX,Kirby Corporation,0.197176
AM,Antero Midstream Corp.,0.196706
FLR,Fluor Corporation,0.195839
ENS,EnerSys,0.194897
NEU,NewMarket Corporation,0.193844
CAVA,CAVA Group Inc.,0.193622
SLAB,Silicon Laboratories Inc.,0.192916
HLI,Houlihan Lokey Inc. Class A,0.192074
VLY,Valley National Bancorp,0.19179
CHE,Chemed Corporation,0.191053
PATH,UiPath Inc. Class A,0.190878
STAG,STAG Industrial Inc.,0.189304
ORA,Ormat Technologies Inc.,0.186918
CLF,Cleveland-Cliffs Inc,0.1857
WEX,WEX Inc.,0.184861
QLYS,Qualys Inc.,0.184832
MSA,MSA Safety Inc.,0.184514
FNB,F.N.B. Corporation,0.184367
